"Firstname","Lastname","gender","Party","Organization","Job","Date_Start","Date_End","Classification","Interval","Income_Min","Income_Max","Edit_URL"
"Artur","Auernhammer","male","CSU","Landwirt","Vertragspartner 3","1/1/2015 0:00:00","","5","0","""30,000""","""50,000""","https://www.abgeordnetenwatch.de/node/179725/edit"
"Artur","Auernhammer","male","CSU","Landwirt","Vertragspartner 3","1/1/2016 0:00:00","","5","0","""30,000""","""50,000""","https://www.abgeordnetenwatch.de/node/179726/edit"
"Bettina","Bähr-Losse","female","SPD","Rechtsanwältin","","","","","0","","","https://www.abgeordnetenwatch.de/node/178460/edit"
"Bettina","Bähr-Losse","female","SPD","Flugplatzgesellschaft Hangelar mbH","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178461/edit"
"Bettina","Bähr-Losse","female","SPD","Kreispolizeibehörde Siegburg","Mitglied des Polizeibeirates","","","","0","","","https://www.abgeordnetenwatch.de/node/178462/edit"
"Bettina","Bähr-Losse","female","SPD","Rhein-Sieg-Kreis","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/178463/edit"
"Dorothee","Bär","female","CSU","Christlich-Soziale Union","Stellv. Generalsekretärin","","12/17/2013 0:00:00","2","1","""3,500""","""7,000""","https://www.abgeordnetenwatch.de/node/179202/edit"
"Dorothee","Bär","female","CSU","CNC - Communications & Network Consulting AG","Mitglied des Expertenrates","","12/17/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179203/edit"
"Dorothee","Bär","female","CSU","ÖPP Deutschland AG","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/179204/edit"
"Dorothee","Bär","female","CSU","Region Mainfranken GmbH","Mitglied des Rates der Region","","12/17/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179205/edit"
"Dorothee","Bär","female","CSU","Rhön-Klinikum AG","Mitglied des Beirates","","12/17/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179206/edit"
"Dorothee","Bär","female","CSU","RTL Television GmbH","Mitglied des Programmausschusses","","12/17/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179207/edit"
"Dorothee","Bär","female","CSU","FFA - Filmförderungsanstalt","Mitglied des Verwaltungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/179208/edit"
"Dorothee","Bär","female","CSU","Julius-Maximilians-Universität Würzburg","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/179209/edit"
"Dorothee","Bär","female","CSU","Landkreis Haßberge","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/179210/edit"
"Dorothee","Bär","female","CSU","AFS Interkulturelle Begegnungen e.V.","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/179211/edit"
"Dorothee","Bär","female","CSU","BFV-Sozialstiftung","Mitglied des Stiftungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/179212/edit"
"Dorothee","Bär","female","CSU","Deutsche Akademie für Kinder- und Jugendliteratur e.V.","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/179213/edit"
"Dorothee","Bär","female","CSU","Freunde und Förderer des RCDS in Bayern e.V.","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/179214/edit"
"Dorothee","Bär","female","CSU","Kissinger Sommer","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/179215/edit"
"Heinz-Joachim","Barchmann","male","SPD","AWO Elm-Lappwald gemeinnützige GmbH","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/179174/edit"
"Heinz-Joachim","Barchmann","male","SPD","AWO Bezirksverband Braunschweig e.V.","Stellv. Vorsitzender des Präsidiums","","","","0","","","https://www.abgeordnetenwatch.de/node/179175/edit"
"Heinz-Joachim","Barchmann","male","SPD","AWO Kreisverband Helmstedt e.V.","Mitglied des Präsidiums","","","","0","","","https://www.abgeordnetenwatch.de/node/179176/edit"
"Heinz-Joachim","Barchmann","male","SPD","Gesellschaft zum Studium strukturpolitischer Fragen e.V.","Stellv. Vorsitzender des Beirates für Europa","","","","0","","","https://www.abgeordnetenwatch.de/node/179177/edit"
"Thomas","Bareiß","male","CDU","BRUNATA-METRONA GmbH","Vortrag","1/1/2016 0:00:00","","2","0","""3,500""","""7,000""","https://www.abgeordnetenwatch.de/node/179727/edit"
"Thomas","Bareiß","male","CDU","Viessmann Deutschland GmbH","Vortrag","1/1/2016 0:00:00","","1","0","""1,000""","""3,500""","https://www.abgeordnetenwatch.de/node/179728/edit"
"Thomas","Bareiß","male","CDU","Agora Energiewende SEFEP GmbH","Mitglied des Rates der Agora","","","","0","","","https://www.abgeordnetenwatch.de/node/179729/edit"
"Thomas","Bareiß","male","CDU","Deutsche Rockwool GmbH + Co. OHG","Mitglied des Fachbeirates","","","4","12","""45,000""","""90,000""","https://www.abgeordnetenwatch.de/node/179730/edit"
"Thomas","Bareiß","male","CDU","""Bundesnetzagentur für Elektrizität, Gas, Telekommunikation, Post und Eisenbahnen""","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/179731/edit"
"Thomas","Bareiß","male","CDU","Ausbildungs- und Berufsförderungsstätte Albstadt e.V.","Mitglied des Verwaltungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/179732/edit"
"Thomas","Bareiß","male","CDU","Bundesverband Deutscher Stiftungen e.V.","Mitglied des Parlamentarischen Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/179733/edit"
"Thomas","Bareiß","male","CDU","Deutsch-Aserbaidschanisches Forum e.V.","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/179734/edit"
"Thomas","Bareiß","male","CDU","Gesellschaft zum Studium strukturpolitischer Fragen e.V.","Vorsitzender des Beirates für Energie","","","","0","","","https://www.abgeordnetenwatch.de/node/179735/edit"
"Thomas","Bareiß","male","CDU","Gesellschaft zur Förderung des Energiewirtschaftlichen Instituts an der Universität zu Köln e.V.","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/179736/edit"
"Thomas","Bareiß","male","CDU","Johanniter-Schwesternschaft e.V.","Mitglied des Verwaltungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/179737/edit"
"Thomas","Bareiß","male","CDU","Max-Planck-Institut für Chemische Energiekonversion","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/179738/edit"
"Thomas","Bareiß","male","CDU","Pro RegioStadtbahn e.V.","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/179739/edit"
"Thomas","Bareiß","male","CDU","Verein der Freunde der Erzabtei St. Martin zu Beuron e.V.","Mitglied des Vorstandes","","","","0","","","https://www.abgeordnetenwatch.de/node/179740/edit"
"Thomas","Bareiß","male","CDU","Zukunft ERDGAS e.V.","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/179741/edit"
"Thomas","Bareiß","male","CDU","FORUM Institut für Management GmbH","Tagungsleitung","1/1/2014 0:00:00","","1","0","""1,000""","""3,500""","https://www.abgeordnetenwatch.de/node/179742/edit"
"Thomas","Bareiß","male","CDU","FORUM Institut für Management GmbH","Tagungsleitung","1/1/2015 0:00:00","","1","0","""1,000""","""3,500""","https://www.abgeordnetenwatch.de/node/179743/edit"
"Katarina","Barley","female","SPD","Sozialdemokratische Partei Deutschlands","Generalsekretärin","12/14/2015 0:00:00","","3","1","""112,000""","""240,000""","https://www.abgeordnetenwatch.de/node/177610/edit"
"Katarina","Barley","female","SPD","Deutsche Druck- und Verlagsgesellschaft mbH (ddvg)","Mitglied des Treuhandausschusses","","","","0","","","https://www.abgeordnetenwatch.de/node/177613/edit"
"Katarina","Barley","female","SPD","ZDF","Mitglied des Fernsehrates","","","","0","","","https://www.abgeordnetenwatch.de/node/177614/edit"
"Katarina","Barley","female","SPD","Bundesverband mittelständische Wirtschaft e.V. (BVMW)","Mitglied des politischen Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/177616/edit"
"Norbert","Barthle","male","CDU","Kreditanstalt für Wiederaufbau","Mitglied des Verwaltungsrates","","4/15/2015 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178188/edit"
"Norbert","Barthle","male","CDU","Kreissparkasse Ostalb","Mitglied des Verwaltungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178190/edit"
"Norbert","Barthle","male","CDU","Regionalverband Ostwürttemberg","Mitglied der Verbandsversammlung","","","","0","","","https://www.abgeordnetenwatch.de/node/178191/edit"
"Norbert","Barthle","male","CDU","Deutscher Skiverband (DSV)","Mitglied der Führung Sportentwicklung","","","","0","","","https://www.abgeordnetenwatch.de/node/178193/edit"
"Norbert","Barthle","male","CDU","Deutscher Verband für das Skilehrwesen e.V. - INTERSKI DEUTSCHLAND","Präsident","","","","0","","","https://www.abgeordnetenwatch.de/node/178194/edit"
"Norbert","Barthle","male","CDU","Internationaler Verband der Schneesport-Instruktoren e.V.","Präsident","","","","0","","","https://www.abgeordnetenwatch.de/node/178195/edit"
"Norbert","Barthle","male","CDU","SG Sonnenhof Grossaspach e.V.","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178197/edit"
"Dietmar","Bartsch","male","DIE LINKE","Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH","Mitglied des Aufsichtsrates","","11/30/2015 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/177882/edit"
"Dietmar","Bartsch","male","DIE LINKE","Deutsche Parlamentarische Gesellschaft e.V.","Mitglied des Vorstandes","","","","0","","","https://www.abgeordnetenwatch.de/node/177883/edit"
"Bärbel","Bas","female","SPD","Hüttenwerke Krupp Mannesmann GmbH","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/176760/edit"
"Bärbel","Bas","female","SPD","Stiftung Humanitäre Hilfe für durch Blutprodukte HIV-infizierte Personen","Mitglied des Stiftungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/176761/edit"
"Marieluise","Beck","female","DIE GRÜNEN","Verein Brücke der Hoffnung","Vorsitzende","","","","0","","","https://www.abgeordnetenwatch.de/node/177266/edit"
"Volker","Beck","male","DIE GRÜNEN","Publizistische Tätigkeit Ullstein Buchverlage GmbH","","1/1/2015 0:00:00","","1","0","""1,000""","""3,500""","https://www.abgeordnetenwatch.de/node/177965/edit"
"Volker","Beck","male","DIE GRÜNEN","Heinrich-Heine-Universität","Mitglied des Kuratoriums für Deutsches und Internationales Parteienrecht und Parteienforschung","","","","0","","","https://www.abgeordnetenwatch.de/node/177966/edit"
"Volker","Beck","male","DIE GRÜNEN","Hessischer Härtefonds für NS-Verfolgte","Beiratssprecher","","","","0","","","https://www.abgeordnetenwatch.de/node/177967/edit"
"Volker","Beck","male","DIE GRÜNEN","""Stiftung Erinnerung, Verantwortung und Zukunft""","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/177968/edit"
"Volker","Beck","male","DIE GRÜNEN","Stiftung Denkmal für die ermordeten Juden Europas","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/177969/edit"
"Volker","Beck","male","DIE GRÜNEN","Aktion Courage e.V. - SOS Rassismus","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/177971/edit"
"Volker","Beck","male","DIE GRÜNEN","Aktion Deutschland Hilft e.V. (ADH)","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/177972/edit"
"Volker","Beck","male","DIE GRÜNEN","Arbeitskreis der Opferhilfen in der Bundesrepublik Deutschland e.V.","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/177974/edit"
"Volker","Beck","male","DIE GRÜNEN","Bundesstiftung Magnus Hirschfeld","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/177975/edit"
"Volker","Beck","male","DIE GRÜNEN","Bundesverband Deutscher Stiftungen e.V.","Mitglied des Parlamentarischen Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/177977/edit"
"Volker","Beck","male","DIE GRÜNEN","Deutscher Koordinierungsrat der Gesellschaften für Christlich-Jüdische Zusammenarbeit e.V. (DKR)","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/177979/edit"
"Volker","Beck","male","DIE GRÜNEN","Freunde und Förderer des Leo Baeck Instituts e.V.","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/177981/edit"
"Volker","Beck","male","DIE GRÜNEN","""Hirschfeld-Eddy-Stiftung, Stiftung für die Menschenrechte von Lesben und Schwulen, Bisexuellen und Transgender,""","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/177983/edit"
"Volker","Beck","male","DIE GRÜNEN","Informations- und Dokumentationszentrum für Antirassismusarbeit e.V. (IDA)","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/177984/edit"
"Volker","Beck","male","DIE GRÜNEN","Leo Baeck Foundation","Mitglied des Stiftungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/177986/edit"
"Volker","Beck","male","DIE GRÜNEN","Stiftung Deutsches Holocaust-Museum","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/177988/edit"
"Volker","Beck","male","DIE GRÜNEN","Sudetendeutscher Rat e.V.","Mitglied der Kurie der Parteien","","","","0","","","https://www.abgeordnetenwatch.de/node/177990/edit"
"Volker","Beck","male","DIE GRÜNEN","The American Jewish Committee","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/177992/edit"
"Uwe","Beckmeyer","male","SPD","Bremer Lagerhaus-Gesellschaft - Aktiengesellschaft von 1877 -","Mitglied des Aufsichtsrates","","12/31/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178251/edit"
"Uwe","Beckmeyer","male","SPD","Deutsche Bahn AG","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178252/edit"
"Uwe","Beckmeyer","male","SPD","DFS Deutsche Flugsicherung GmbH","Mitglied des Beirates","","12/31/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178254/edit"
"Uwe","Beckmeyer","male","SPD","Grontmij GmbH","Mitglied im Council","","12/31/2013 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178256/edit"
"Uwe","Beckmeyer","male","SPD","Deutsch-Isländische Gesellschaft Bremerhaven-Bremen e.V.","Vorsitzender","","","","0","","","https://www.abgeordnetenwatch.de/node/178257/edit"
"Uwe","Beckmeyer","male","SPD","Uwe Beckmeyer GmbH  (in Auflösung)","","","","","0","","","https://www.abgeordnetenwatch.de/node/178259/edit"
"Maik","Beermann","male","CDU","Gemeinde Steimbke","Mitglied des Gemeinderates","","","","0","","","https://www.abgeordnetenwatch.de/node/178653/edit"
"Maik","Beermann","male","CDU","Gemeinde Steimbke","Stellv. Bürgermeister","","10/31/2016 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178654/edit"
"Maik","Beermann","male","CDU","Landkreis Nienburg/Weser","Mitglied des Kreistages und des Kreisausschusses","","","","0","","","https://www.abgeordnetenwatch.de/node/178655/edit"
"Maik","Beermann","male","CDU","Landkreis Nienburg/Weser","Stellv. Landrat","","","","0","","","https://www.abgeordnetenwatch.de/node/178656/edit"
"Maik","Beermann","male","CDU","Samtgemeinde Steimbke","Mitglied des Samtgemeinderates","","10/31/2016 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/178657/edit"
"Herbert","Behrens","male","DIE LINKE","Stadt Osterholz-Scharmbeck","Mitglied des Stadtrates","","","","0","","","https://www.abgeordnetenwatch.de/node/176734/edit"
"Manfred","Behrens","male","CDU","Einheitsgemeinde Barleben","Mitglied des Gemeinderates und Ortsbürgermeister/OT Ebendorf","","","","0","","","https://www.abgeordnetenwatch.de/node/179178/edit"
"Manfred","Behrens","male","CDU","Landkreis Börde","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/179179/edit"
"Manfred","Behrens","male","CDU","Dorfverschönerungsverein","Mitglied des Vorstandes","","","","0","","","https://www.abgeordnetenwatch.de/node/179180/edit"
"Manfred","Behrens","male","CDU","Feuerwehrförderverein Ebendorf e.V.","Mitglied des Vorstandes","","","","0","","","https://www.abgeordnetenwatch.de/node/179181/edit"
"Veronika","Bellmann","female","CDU","Landkreis Mittelsachsen","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/177785/edit"
"Sybille","Benning","female","CDU","Westfälischer Zoologischer Garten Münster GmbH","Mitglied des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/180306/edit"
"Christoph","Bergner","male","CDU","Bundesverband Deutscher Stiftungen e.V.","Mitglied des Parlamentarischen Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/177643/edit"
"Christoph","Bergner","male","CDU","Deutsch-Rumänisches Forum e.V.","Vorsitzender","","","","0","","","https://www.abgeordnetenwatch.de/node/177644/edit"
"Christoph","Bergner","male","CDU","Förderverein Erholungsgebiet Petersberg e.V.","Vorsitzender","","","","0","","","https://www.abgeordnetenwatch.de/node/177645/edit"
"Christoph","Bergner","male","CDU","Freundes- u. Förderkreis der Evangelischen Hochschule für Kirchenmusik Halle (Saale) e.V.","Vorsitzender","","","","0","","","https://www.abgeordnetenwatch.de/node/177646/edit"
"Christoph","Bergner","male","CDU","Sportverein Halle e.V.","Präsident","","","","0","","","https://www.abgeordnetenwatch.de/node/177647/edit"
"Ute","Bertram","female","CDU","Landkreis Hildesheim","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/177662/edit"
"Ute","Bertram","female","CDU","Stadt Alfeld (Leine)","Mitglied des Stadtrates","","","","0","","","https://www.abgeordnetenwatch.de/node/177663/edit"
"Ute","Bertram","female","CDU","Freundes- und Förderkreis Junge Union Kreisverband Hildesheim-Land","Vorsitzende","","","","0","","","https://www.abgeordnetenwatch.de/node/177664/edit"
"Peter","Beyer","male","CDU","Rechtsanwalt","Mandant 1","1/1/2017 0:00:00","","2","0","""3,500""","""7,000""","https://www.abgeordnetenwatch.de/node/179744/edit"
"Peter","Beyer","male","CDU","American Chamber of Commerce in Germany e.V.","Mitglied des Membership Committees","","","","0","","","https://www.abgeordnetenwatch.de/node/179745/edit"
"Peter","Beyer","male","CDU","Stiftung Haus Oberschlesien","Mitglied des Beirates","","","","0","","","https://www.abgeordnetenwatch.de/node/179746/edit"
"Peter","Beyer","male","CDU","Südosteuropa-Gesellschaft e.V.","Vizepräsident","","","","0","","","https://www.abgeordnetenwatch.de/node/179747/edit"
"Peter","Bleser","male","CDU","Kreditanstalt für Wiederaufbau (KfW)","Mitglied des Verwaltungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178890/edit"
"Peter","Bleser","male","CDU","Landkreis Cochem-Zell","Mitglied des Kreistages","","","","0","","","https://www.abgeordnetenwatch.de/node/178891/edit"
"Peter","Bleser","male","CDU","Verbandsgemeinde Kaisersesch","Mitglied des Verbandsgemeinderates","","","","0","","","https://www.abgeordnetenwatch.de/node/178892/edit"
"Peter","Bleser","male","CDU","Landjugendverband im Bauern- und Winzerverband Rheinland-Nassau e.V.","Vorsitzender des Fördervereins der Landjugend","","","","0","","","https://www.abgeordnetenwatch.de/node/178893/edit"
"Burkhard","Blienert","male","SPD","Bundeszentrale für politische Bildung","Stellv. Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/176941/edit"
"Burkhard","Blienert","male","SPD","Deutsche Nationalbibliothek","Stellv. Mitglied des Verwaltungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/176942/edit"
"Burkhard","Blienert","male","SPD","Deutschlandradio","Mitglied des Hörfunkrates","","","","0","","","https://www.abgeordnetenwatch.de/node/176943/edit"
"Burkhard","Blienert","male","SPD","FFA - Filmförderungsanstalt","Mitglied des Verwaltungsrates und Stellv. Mitglied der Vergabekommission","","","","0","","","https://www.abgeordnetenwatch.de/node/176945/edit"
"Heidrun","Bluhm","female","DIE LINKE","B&B Hausverwaltung GbR","Geschäftsführende Gesellschafterin","","","","0","","","https://www.abgeordnetenwatch.de/node/178716/edit"
"Heidrun","Bluhm","female","DIE LINKE","TreuhandliegenschaftsGenossenschaft","Vorsitzende des Aufsichtsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178717/edit"
"Heidrun","Bluhm","female","DIE LINKE","Bundesanstalt für Immobilienaufgaben","Mitglied des Verwaltungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178718/edit"
"Heidrun","Bluhm","female","DIE LINKE","Bundesstiftung Baukultur","Mitglied des Stiftungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178719/edit"
"Heidrun","Bluhm","female","DIE LINKE","BFW Bundesverband Freier Immobilien- und Wohnungsunternehmen e.V.","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/178720/edit"
"Heidrun","Bluhm","female","DIE LINKE","Stiftung Berliner Schloss - Humboldtforum","Mitglied des Stiftungsrates","","","","0","","","https://www.abgeordnetenwatch.de/node/178721/edit"
"Heidrun","Bluhm","female","DIE LINKE","B&B Hausverwaltung GbR","","","","","0","","","https://www.abgeordnetenwatch.de/node/178722/edit"
"Maria","Böhmer","female","CDU","ZDF","Stellv. Vorsitzende des Fernsehrates","","7/7/2016 0:00:00","","0","","","https://www.abgeordnetenwatch.de/node/179182/edit"
"Maria","Böhmer","female","CDU","Caritas-Stiftung St. Elisabeth im Bistum Speyer","Stellv. Vorsitzende des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/179183/edit"
"Maria","Böhmer","female","CDU","Internationale Journalisten-Programme e.V. (IJP)","Mitglied des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/179184/edit"
"Maria","Böhmer","female","CDU","St. Martinus-Schulstiftung im Bistum Mainz","Vorsitzende des Kuratoriums","","","","0","","","https://www.abgeordnetenwatch.de/node/179185/edit"
"Maria","Böhmer","female","CDU","Zentralkomitee der deutschen Katholiken (ZdK)","Mitglied der Vollversammlung","","","","0","","","https://www.abgeordnetenwatch.de/node/179186/edit"
"Wolfgang","Bosbach","male","CDU","Bastei Lübbe AG","Publizistische Tätigkeit","1/1/2016 0:00:00","","1","0","""1,000""","""3,500""","https://www.abgeordnetenwatch.de/node/180181/edit"
"Wolfgang","Bosbach","male","CDU","Winter Rechtsanwälte","Rechtsanwalt","","7/31/2014 0:00:00","1","1","""8,000""","""28,000""","https://www.abgeordnetenwatch.de/node/180182/edit"
"Wolfgang","Bosbach","male","CDU","Adveo Deutschland GmbH","Vortrag","1/1/2013 0:00:00","","2","0","""3,500""","""7,000""","https://www.abgeordnetenwatch.de/node/180183/edit"
"Wolfgang","Bosbach","male","CDU","BBBank eG","Vortrag","1/1/2016 0:00:00","","1","0","""1,000""","""3,500""","https://www.abgeordnetenwatch.de/node/180184/edit"
"Wolfgang","Bosbach","male","CDU","BBBank eG","Vortrag","1/1/2016 0:00:00","","1","0","""1,000""","""3,500""","https://www.abgeordnetenwatch.de/node/180185/edit"
"Wolfgang","Bosbach","male","CDU","BBBank eG","Vortrag","1/1/2016 0:00:00","","1","0","""1,000""","""3,500""","https://www.abgeordnetenwatch.de/node/180186/edit"
